,Unnamed: 0,resultId,raceId,driverId,constructorId,grid,positionText,positionOrder,points,laps,fastestLapTime,fastestLapSpeed,status,driverRef,dob,nationality_x,year,round,name_x,date,circuitRef,location,country,constructorRef,nationality_y,position_quali,stop,lap,milliseconds,name,weather,SC Laps
2499,2499,21042,852,18,1,13,3,3,15.0,44,01:50.1,229.092,Finished,button,1/19/1980,British,2011,12,Belgian Grand Prix,8/28/2011,spa,Spa,Belgium,mclaren,British,13.0,3,32,21640,Belgian Grand Prix,Dry,4.0
2502,2502,21055,852,22,3,14,16,16,0.0,43,01:50.4,228.341,+1 Lap,barrichello,5/23/1972,Brazilian,2011,12,Belgian Grand Prix,8/28/2011,spa,Spa,Belgium,williams,British,14.0,3,40,47753,Belgian Grand Prix,Dry,4.0
2504,2504,21049,852,813,3,21,10,10,1.0,44,01:53.4,222.423,Finished,maldonado,3/9/1985,Venezuelan,2011,12,Belgian Grand Prix,8/28/2011,spa,Spa,Belgium,williams,British,16.0,2,29,22303,Belgian Grand Prix,Dry,4.0
2506,2506,21048,852,808,4,10,9,9,2.0,44,01:52.4,224.263,Finished,petrov,9/8/1984,Russian,2011,12,Belgian Grand Prix,8/28/2011,spa,Spa,Belgium,renault,French,10.0,2,30,21979,Belgian Grand Prix,Dry,4.0
2509,2509,21052,852,811,4,7,13,13,0.0,44,01:53.6,221.987,Finished,bruno_senna,10/15/1983,Brazilian,2011,12,Belgian Grand Prix,8/28/2011,spa,Spa,Belgium,renault,French,7.0,3,21,20756,Belgian Grand Prix,Dry,4.0
2511,2511,21043,852,4,6,8,4,4,12.0,44,01:51.1,226.937,Finished,alonso,7/29/1981,Spanish,2011,12,Belgian Grand Prix,8/28/2011,spa,Spa,Belgium,ferrari,Italian,8.0,2,29,21243,Belgian Grand Prix,Dry,4.0
2514,2514,21047,852,13,6,4,8,8,4.0,44,01:51.6,226.008,Finished,massa,4/25/1981,Brazilian,2011,12,Belgian Grand Prix,8/28/2011,spa,Spa,Belgium,ferrari,Italian,4.0,3,32,21485,Belgian Grand Prix,Dry,4.0
2516,2516,21041,852,17,9,3,2,2,18.0,44,01:49.9,229.465,Finished,webber,8/27/1976,Australian,2011,12,Belgian Grand Prix,8/28/2011,spa,Spa,Belgium,red_bull,Austrian,3.0,2,31,20947,Belgian Grand Prix,Dry,4.0
2519,2519,21040,852,20,9,1,1,1,25.0,44,01:50.5,228.285,Finished,vettel,7/3/1987,German,2011,12,Belgian Grand Prix,8/28/2011,spa,Spa,Belgium,red_bull,Austrian,1.0,3,30,20786,Belgian Grand Prix,Dry,4.0
2521,2521,21046,852,16,10,15,7,7,6.0,44,01:52.6,223.946,Finished,sutil,1/11/1983,German,2011,12,Belgian Grand Prix,8/28/2011,spa,Spa,Belgium,force_india,Indian,15.0,2,31,20983,Belgian Grand Prix,Dry,4.0
2523,2523,21050,852,814,10,17,11,11,0.0,44,01:53.2,222.696,Finished,resta,4/16/1986,British,2011,12,Belgian Grand Prix,8/28/2011,spa,Spa,Belgium,force_india,Indian,18.0,2,30,21350,Belgian Grand Prix,Dry,4.0
2525,2525,21045,852,3,131,5,6,6,8.0,44,01:52.3,224.601,Finished,rosberg,6/27/1985,German,2011,12,Belgian Grand Prix,8/28/2011,spa,Spa,Belgium,mercedes,German,5.0,2,30,21171,Belgian Grand Prix,Dry,4.0
2528,2528,21044,852,30,131,24,5,5,10.0,44,01:51.1,226.876,Finished,michael_schumacher,1/3/1969,German,2011,12,Belgian Grand Prix,8/28/2011,spa,Spa,Belgium,mercedes,German,,3,31,21319,Belgian Grand Prix,Dry,4.0
2531,2531,21054,852,5,205,16,15,15,0.0,43,01:54.1,221.08,+1 Lap,kovalainen,10/19/1981,Finnish,2011,12,Belgian Grand Prix,8/28/2011,spa,Spa,Belgium,lotus_racing,Malaysian,17.0,3,33,22306,Belgian Grand Prix,Dry,4.0
2533,2533,21053,852,15,205,18,14,14,0.0,43,01:54.6,220.076,+1 Lap,trulli,7/13/1974,Italian,2011,12,Belgian Grand Prix,8/28/2011,spa,Spa,Belgium,lotus_racing,Malaysian,19.0,2,31,21484,Belgian Grand Prix,Dry,4.0
2537,2537,21057,852,10,166,19,18,18,0.0,43,01:56.5,216.358,+1 Lap,glock,3/18/1982,German,2011,12,Belgian Grand Prix,8/28/2011,spa,Spa,Belgium,virgin,British,20.0,4,35,21721,Belgian Grand Prix,Dry,4.0
2539,2539,21056,852,816,166,20,17,17,0.0,43,01:56.3,216.769,+1 Lap,ambrosio,12/27/1985,Belgian,2011,12,Belgian Grand Prix,8/28/2011,spa,Spa,Belgium,virgin,British,21.0,2,36,22114,Belgian Grand Prix,Dry,4.0
2541,2541,21051,852,155,15,12,12,12,0.0,44,01:53.9,221.429,Finished,kobayashi,9/13/1986,Japanese,2011,12,Belgian Grand Prix,8/28/2011,spa,Spa,Belgium,sauber,Swiss,12.0,2,29,21269,Belgian Grand Prix,Dry,4.0
2544,2544,21059,852,815,15,9,R,20,0.0,27,01:54.2,220.706,Suspension,perez,1/26/1990,Mexican,2011,12,Belgian Grand Prix,8/28/2011,spa,Spa,Belgium,sauber,Swiss,9.0,3,23,23883,Belgian Grand Prix,Dry,4.0
2546,2546,21058,852,24,164,22,19,19,0.0,43,01:58.1,213.57,+1 Lap,liuzzi,8/6/1980,Italian,2011,12,Belgian Grand Prix,8/28/2011,spa,Spa,Belgium,hrt,Spanish,22.0,2,27,30959,Belgian Grand Prix,Dry,4.0
2547,2547,21060,852,817,164,23,R,21,0.0,13,01:59.8,210.416,Engine,ricciardo,7/1/1989,Australian,2011,12,Belgian Grand Prix,8/28/2011,spa,Spa,Belgium,hrt,Spanish,23.0,1,13,23780,Belgian Grand Prix,Dry,4.0
2548,2548,21496,871,18,1,1,1,1,25.0,44,01:54.3,220.611,Finished,button,1/19/1980,British,2012,12,Belgian Grand Prix,9/2/2012,spa,Spa,Belgium,mclaren,British,1.0,1,20,19668,Belgian Grand Prix,Dry,3.0
2549,2549,21515,871,813,3,6,R,20,0.0,4,02:56.2,143.116,Collision,maldonado,3/9/1985,Venezuelan,2012,12,Belgian Grand Prix,9/2/2012,spa,Spa,Belgium,williams,British,3.0,1,1,21842,Belgian Grand Prix,Dry,3.0
2551,2551,21507,871,811,3,17,12,12,0.0,44,01:52.8,223.488,Finished,bruno_senna,10/15/1983,Brazilian,2012,12,Belgian Grand Prix,9/2/2012,spa,Spa,Belgium,williams,British,17.0,2,39,22030,Belgian Grand Prix,Dry,3.0
2553,2553,21500,871,13,6,14,5,5,10.0,44,01:53.5,222.223,Finished,massa,4/25/1981,Brazilian,2012,12,Belgian Grand Prix,9/2/2012,spa,Spa,Belgium,ferrari,Italian,14.0,2,27,21049,Belgian Grand Prix,Dry,3.0
2555,2555,21501,871,17,9,12,6,6,8.0,44,01:53.8,221.629,Finished,webber,8/27/1976,Australian,2012,12,Belgian Grand Prix,9/2/2012,spa,Spa,Belgium,red_bull,Austrian,7.0,2,27,20385,Belgian Grand Prix,Dry,3.0
2556,2556,21497,871,20,9,10,2,2,18.0,44,01:54.2,220.795,Finished,vettel,7/3/1987,German,2012,12,Belgian Grand Prix,9/2/2012,spa,Spa,Belgium,red_bull,Austrian,11.0,1,21,20811,Belgian Grand Prix,Dry,3.0
2558,2558,21504,871,817,5,16,9,9,2.0,44,01:54.6,220.011,Finished,ricciardo,7/1/1989,Australian,2012,12,Belgian Grand Prix,9/2/2012,spa,Spa,Belgium,toro_rosso,Italian,16.0,2,28,21060,Belgian Grand Prix,Dry,3.0
2560,2560,21503,871,818,5,15,8,8,4.0,44,01:54.0,221.188,Finished,vergne,4/25/1990,French,2012,12,Belgian Grand Prix,9/2/2012,spa,Spa,Belgium,toro_rosso,Italian,15.0,2,29,21077,Belgian Grand Prix,Dry,3.0
2562,2562,21499,871,807,10,11,4,4,12.0,44,01:53.8,221.645,Finished,hulkenberg,8/19/1987,German,2012,12,Belgian Grand Prix,9/2/2012,spa,Spa,Belgium,force_india,Indian,12.0,2,27,20696,Belgian Grand Prix,Dry,3.0
2564,2564,21505,871,814,10,9,10,10,1.0,44,01:54.6,220.093,Finished,resta,4/16/1986,British,2012,12,Belgian Grand Prix,9/2/2012,spa,Spa,Belgium,force_india,Indian,10.0,2,26,21115,Belgian Grand Prix,Dry,3.0
2566,2566,21506,871,3,131,23,11,11,0.0,44,01:53.1,222.992,Finished,rosberg,6/27/1985,German,2012,12,Belgian Grand Prix,9/2/2012,spa,Spa,Belgium,mercedes,German,18.0,2,36,20534,Belgian Grand Prix,Dry,3.0
2568,2568,21502,871,30,131,13,7,7,6.0,44,01:53.5,222.139,Finished,michael_schumacher,1/3/1969,German,2012,12,Belgian Grand Prix,9/2/2012,spa,Spa,Belgium,mercedes,German,13.0,2,35,20835,Belgian Grand Prix,Dry,3.0
2571,2571,21508,871,155,15,2,13,13,0.0,44,01:55.6,218.121,Finished,kobayashi,9/13/1986,Japanese,2012,12,Belgian Grand Prix,9/2/2012,spa,Spa,Belgium,sauber,Swiss,2.0,3,24,22106,Belgian Grand Prix,Dry,3.0
2574,2574,21513,871,37,164,21,18,18,0.0,43,01:57.3,214.929,+1 Lap,rosa,2/24/1971,Spanish,2012,12,Belgian Grand Prix,9/2/2012,spa,Spa,Belgium,hrt,Spanish,22.0,3,27,22064,Belgian Grand Prix,Dry,3.0
2576,2576,21514,871,39,164,24,R,19,0.0,29,01:59.1,211.684,Spun off,karthikeyan,1/14/1977,Indian,2012,12,Belgian Grand Prix,9/2/2012,spa,Spa,Belgium,hrt,Spanish,24.0,2,28,22523,Belgian Grand Prix,Dry,3.0
2578,2578,21512,871,5,207,18,17,17,0.0,43,01:56.5,216.479,+1 Lap,kovalainen,10/19/1981,Finnish,2012,12,Belgian Grand Prix,9/2/2012,spa,Spa,Belgium,caterham,Malaysian,19.0,2,27,21931,Belgian Grand Prix,Dry,3.0
2580,2580,21509,871,808,207,19,14,14,0.0,43,01:56.7,215.985,+1 Lap,petrov,9/8/1984,Russian,2012,12,Belgian Grand Prix,9/2/2012,spa,Spa,Belgium,caterham,Malaysian,20.0,2,26,21180,Belgian Grand Prix,Dry,3.0
2582,2582,21498,871,8,208,3,3,3,15.0,44,01:53.6,221.879,Finished,raikkonen,10/17/1979,Finnish,2012,12,Belgian Grand Prix,9/2/2012,spa,Spa,Belgium,lotus_f1,British,4.0,2,28,20289,Belgian Grand Prix,Dry,3.0
2584,2584,21510,871,10,206,20,15,15,0.0,43,01:57.0,215.588,+1 Lap,glock,3/18/1982,German,2012,12,Belgian Grand Prix,9/2/2012,spa,Spa,Belgium,marussia,Russian,21.0,2,25,20660,Belgian Grand Prix,Dry,3.0
2585,2585,21511,871,819,206,22,16,16,0.0,43,01:57.9,213.791,+1 Lap,pic,2/15/1990,French,2012,12,Belgian Grand Prix,9/2/2012,spa,Spa,Belgium,marussia,Russian,23.0,1,18,21611,Belgian Grand Prix,Dry,3.0
2587,2587,22378,911,18,1,10,6,6,8.0,44,01:53.5,222.186,Finished,button,1/19/1980,British,2014,12,Belgian Grand Prix,8/24/2014,spa,Spa,Belgium,mclaren,British,10.0,2,29,22588,Belgian Grand Prix,Dry,
2589,2589,22384,911,825,1,7,12,12,0.0,44,01:54.2,220.785,Finished,kevin_magnussen,10/5/1992,Danish,2014,12,Belgian Grand Prix,8/24/2014,spa,Spa,Belgium,mclaren,British,7.0,2,23,22414,Belgian Grand Prix,Dry,
2592,2592,22385,911,13,3,9,13,13,0.0,44,01:52.5,224.104,Finished,massa,4/25/1981,Brazilian,2014,12,Belgian Grand Prix,8/24/2014,spa,Spa,Belgium,williams,British,9.0,3,35,23224,Belgian Grand Prix,Dry,
2594,2594,22375,911,822,3,6,3,3,15.0,44,01:52.7,223.698,Finished,bottas,8/28/1989,Finnish,2014,12,Belgian Grand Prix,8/24/2014,spa,Spa,Belgium,williams,British,6.0,2,28,23176,Belgian Grand Prix,Dry,
2596,2596,22379,911,4,6,4,7,7,6.0,44,01:53.9,221.413,Finished,alonso,7/29/1981,Spanish,2014,12,Belgian Grand Prix,8/24/2014,spa,Spa,Belgium,ferrari,Italian,4.0,2,25,22974,Belgian Grand Prix,Dry,
2598,2598,22376,911,8,6,8,4,4,12.0,44,01:54.1,221.004,Finished,raikkonen,10/17/1979,Finnish,2014,12,Belgian Grand Prix,8/24/2014,spa,Spa,Belgium,ferrari,Italian,8.0,2,21,22819,Belgian Grand Prix,Dry,
2601,2601,22377,911,20,9,3,5,5,10.0,44,01:53.0,223.229,Finished,vettel,7/3/1987,German,2014,12,Belgian Grand Prix,8/24/2014,spa,Spa,Belgium,red_bull,Austrian,3.0,3,34,23190,Belgian Grand Prix,Dry,
2603,2603,22373,911,817,9,5,1,1,25.0,44,01:53.0,223.187,Finished,ricciardo,7/1/1989,Australian,2014,12,Belgian Grand Prix,8/24/2014,spa,Spa,Belgium,red_bull,Austrian,5.0,2,27,22675,Belgian Grand Prix,Dry,
2605,2605,22383,911,818,5,12,11,11,0.0,44,01:53.3,222.592,Finished,vergne,4/25/1990,French,2014,12,Belgian Grand Prix,8/24/2014,spa,Spa,Belgium,toro_rosso,Italian,12.0,2,29,23202,Belgian Grand Prix,Dry,
2607,2607,22381,911,826,5,11,9,9,2.0,44,01:54.2,220.87,Finished,kvyat,4/26/1994,Russian,2014,12,Belgian Grand Prix,8/24/2014,spa,Spa,Belgium,toro_rosso,Italian,11.0,2,24,24436,Belgian Grand Prix,Dry,
2609,2609,22382,911,807,10,18,10,10,1.0,44,01:53.6,221.934,Finished,hulkenberg,8/19/1987,German,2014,12,Belgian Grand Prix,8/24/2014,spa,Spa,Belgium,force_india,Indian,18.0,2,30,23841,Belgian Grand Prix,Dry,
2611,2611,22380,911,815,10,13,8,8,4.0,44,01:54.5,220.151,Finished,perez,1/26/1990,Mexican,2014,12,Belgian Grand Prix,8/24/2014,spa,Spa,Belgium,force_india,Indian,13.0,2,22,22977,Belgian Grand Prix,Dry,
2614,2614,22391,911,1,131,2,R,19,0.0,38,01:53.7,221.748,Retired,hamilton,1/7/1985,British,2014,12,Belgian Grand Prix,8/24/2014,spa,Spa,Belgium,mercedes,German,2.0,3,31,24757,Belgian Grand Prix,Dry,
2617,2617,22374,911,3,131,1,2,2,18.0,44,01:50.5,228.161,Finished,rosberg,6/27/1985,German,2014,12,Belgian Grand Prix,8/24/2014,spa,Spa,Belgium,mercedes,German,1.0,3,34,23392,Belgian Grand Prix,Dry,
2620,2620,22386,911,16,15,14,14,14,0.0,44,01:52.4,224.301,Finished,sutil,1/11/1983,German,2014,12,Belgian Grand Prix,8/24/2014,spa,Spa,Belgium,sauber,Swiss,14.0,3,34,23732,Belgian Grand Prix,Dry,
2622,2622,22387,911,821,15,20,15,15,0.0,44,01:54.0,221.178,Finished,gutierrez,8/5/1991,Mexican,2014,12,Belgian Grand Prix,8/24/2014,spa,Spa,Belgium,sauber,Swiss,20.0,2,30,22898,Belgian Grand Prix,Dry,
2624,2624,22389,911,828,207,22,17,17,0.0,43,01:55.9,217.553,+1 Lap,ericsson,9/2/1990,Swedish,2014,12,Belgian Grand Prix,8/24/2014,spa,Spa,Belgium,caterham,Malaysian,22.0,2,24,24213,Belgian Grand Prix,Dry,
2627,2627,22392,911,154,208,15,R,20,0.0,33,01:55.6,218.025,Retired,grosjean,4/17/1986,French,2014,12,Belgian Grand Prix,8/24/2014,spa,Spa,Belgium,lotus_f1,British,15.0,3,27,24569,Belgian Grand Prix,Dry,
2629,2629,22388,911,820,206,19,16,16,0.0,43,01:55.2,218.785,+1 Lap,chilton,4/21/1991,British,2014,12,Belgian Grand Prix,8/24/2014,spa,Spa,Belgium,marussia,Russian,19.0,2,29,24873,Belgian Grand Prix,Dry,
2631,2631,22390,911,824,206,16,18,18,0.0,39,01:56.3,216.717,Gearbox,jules_bianchi,8/3/1989,French,2014,12,Belgian Grand Prix,8/24/2014,spa,Spa,Belgium,marussia,Russian,16.0,2,23,23918,Belgian Grand Prix,Dry,
2633,2633,21067,853,1,1,2,4,4,12.0,53,01:26.2,241.971,Finished,hamilton,1/7/1985,British,2011,13,Italian Grand Prix,9/11/2011,monza,Monza,Italy,mclaren,British,2.0,2,34,21876,Italian Grand Prix,Dry,3.0
2635,2635,21065,853,18,1,3,2,2,18.0,53,01:26.2,241.915,Finished,button,1/19/1980,British,2011,13,Italian Grand Prix,9/11/2011,monza,Monza,Italy,mclaren,British,3.0,2,33,22095,Italian Grand Prix,Dry,3.0
2637,2637,21075,853,22,3,13,12,12,0.0,52,01:28.4,235.975,+1 Lap,barrichello,5/23/1972,Brazilian,2011,13,Italian Grand Prix,9/11/2011,monza,Monza,Italy,williams,British,13.0,2,32,23414,Italian Grand Prix,Dry,3.0
2639,2639,21074,853,813,3,14,11,11,0.0,52,01:28.9,234.497,+1 Lap,maldonado,3/9/1985,Venezuelan,2011,13,Italian Grand Prix,9/11/2011,monza,Monza,Italy,williams,British,14.0,2,37,22614,Italian Grand Prix,Dry,3.0
2642,2642,21072,853,811,4,10,9,9,2.0,52,01:26.9,240,+1 Lap,bruno_senna,10/15/1983,Brazilian,2011,13,Italian Grand Prix,9/11/2011,monza,Monza,Italy,renault,French,10.0,3,40,22273,Italian Grand Prix,Dry,3.0
2644,2644,21066,853,4,6,4,3,3,15.0,53,01:27.2,239.185,Finished,alonso,7/29/1981,Spanish,2011,13,Italian Grand Prix,9/11/2011,monza,Monza,Italy,ferrari,Italian,4.0,2,34,21989,Italian Grand Prix,Dry,3.0
2646,2646,21069,853,13,6,6,6,6,8.0,53,01:26.9,239.919,Finished,massa,4/25/1981,Brazilian,2011,13,Italian Grand Prix,9/11/2011,monza,Monza,Italy,ferrari,Italian,6.0,2,41,22148,Italian Grand Prix,Dry,3.0
2648,2648,21064,853,20,9,1,1,1,25.0,53,01:26.6,240.937,Finished,vettel,7/3/1987,German,2011,13,Italian Grand Prix,9/11/2011,monza,Monza,Italy,red_bull,Austrian,1.0,2,35,21378,Italian Grand Prix,Dry,3.0
2650,2650,21073,853,67,5,16,10,10,1.0,52,01:28.2,236.443,+1 Lap,buemi,10/31/1988,Swiss,2011,13,Italian Grand Prix,9/11/2011,monza,Monza,Italy,toro_rosso,Italian,16.0,2,40,24086,Italian Grand Prix,Dry,3.0
2652,2652,21070,853,153,5,18,7,7,6.0,52,01:28.4,236.028,+1 Lap,alguersuari,3/23/1990,Spanish,2011,13,Italian Grand Prix,9/11/2011,monza,Monza,Italy,toro_rosso,Italian,18.0,2,41,22279,Italian Grand Prix,Dry,3.0
2654,2654,21071,853,814,10,11,8,8,4.0,52,01:28.1,236.841,+1 Lap,resta,4/16/1986,British,2011,13,Italian Grand Prix,9/11/2011,monza,Monza,Italy,force_india,Indian,11.0,2,31,23069,Italian Grand Prix,Dry,3.0
2656,2656,21068,853,30,131,8,5,5,10.0,53,01:27.4,238.607,Finished,michael_schumacher,1/3/1969,German,2011,13,Italian Grand Prix,9/11/2011,monza,Monza,Italy,mercedes,German,8.0,2,37,22014,Italian Grand Prix,Dry,3.0
2658,2658,21076,853,5,205,20,13,13,0.0,51,01:29.6,232.653,+2 Laps,kovalainen,10/19/1981,Finnish,2011,13,Italian Grand Prix,9/11/2011,monza,Monza,Italy,lotus_racing,Malaysian,20.0,2,35,22611,Italian Grand Prix,Dry,3.0
2660,2660,21077,853,15,205,19,14,14,0.0,51,01:29.8,232.171,+2 Laps,trulli,7/13/1974,Italian,2011,13,Italian Grand Prix,9/11/2011,monza,Monza,Italy,lotus_racing,Malaysian,19.0,2,24,23420,Italian Grand Prix,Dry,3.0
2662,2662,21078,853,10,166,21,15,15,0.0,51,01:30.8,229.721,+2 Laps,glock,3/18/1982,German,2011,13,Italian Grand Prix,9/11/2011,monza,Monza,Italy,virgin,British,21.0,2,38,22784,Italian Grand Prix,Dry,3.0
2664,2664,21081,853,155,15,17,R,18,0.0,21,01:30.0,231.72,Gearbox,kobayashi,9/13/1986,Japanese,2011,13,Italian Grand Prix,9/11/2011,monza,Monza,Italy,sauber,Swiss,17.0,2,18,22939,Italian Grand Prix,Dry,3.0
2666,2666,21079,853,817,164,23,N,16,0.0,39,01:32.0,226.65,+14 Laps,ricciardo,7/1/1989,Australian,2011,13,Italian Grand Prix,9/11/2011,monza,Monza,Italy,hrt,Spanish,23.0,2,20,30777,Italian Grand Prix,Dry,3.0
2667,2667,21520,872,1,1,1,1,1,25.0,53,01:28.4,235.841,Finished,hamilton,1/7/1985,British,2012,13,Italian Grand Prix,9/9/2012,monza,Monza,Italy,mclaren,British,1.0,1,23,20736,Italian Grand Prix,Dry,
2668,2668,21542,872,18,1,2,R,23,0.0,32,01:28.9,234.518,Fuel pressure,button,1/19/1980,British,2012,13,Italian Grand Prix,9/9/2012,monza,Monza,Italy,mclaren,British,2.0,1,22,23375,Italian Grand Prix,Dry,
2670,2670,21530,872,813,3,22,11,11,0.0,53,01:28.1,236.843,Finished,maldonado,3/9/1985,Venezuelan,2012,13,Italian Grand Prix,9/9/2012,monza,Monza,Italy,williams,British,12.0,2,35,21814,Italian Grand Prix,Dry,
2671,2671,21529,872,811,3,13,10,10,1.0,53,01:28.7,235.004,Finished,bruno_senna,10/15/1983,Brazilian,2012,13,Italian Grand Prix,9/9/2012,monza,Monza,Italy,williams,British,14.0,1,24,22985,Italian Grand Prix,Dry,
2672,2672,21522,872,4,6,10,3,3,15.0,53,01:28.8,234.758,Finished,alonso,7/29/1981,Spanish,2012,13,Italian Grand Prix,9/9/2012,monza,Monza,Italy,ferrari,Italian,10.0,1,20,21515,Italian Grand Prix,Dry,
2673,2673,21523,872,13,6,3,4,4,12.0,53,01:28.9,234.55,Finished,massa,4/25/1981,Brazilian,2012,13,Italian Grand Prix,9/9/2012,monza,Monza,Italy,ferrari,Italian,3.0,1,19,22161,Italian Grand Prix,Dry,
2674,2674,21539,872,17,9,11,20,20,0.0,51,01:29.2,233.792,Vibrations,webber,8/27/1976,Australian,2012,13,Italian Grand Prix,9/9/2012,monza,Monza,Italy,red_bull,Austrian,11.0,1,21,21556,Italian Grand Prix,Dry,
2676,2676,21541,872,20,9,5,22,22,0.0,47,01:28.7,235.081,Alternator,vettel,7/3/1987,German,2012,13,Italian Grand Prix,9/9/2012,monza,Monza,Italy,red_bull,Austrian,6.0,2,34,15008,Italian Grand Prix,Dry,
2677,2677,21531,872,817,5,14,12,12,0.0,53,01:28.6,235.325,Finished,ricciardo,7/1/1989,Australian,2012,13,Italian Grand Prix,9/9/2012,monza,Monza,Italy,toro_rosso,Italian,15.0,1,24,21720,Italian Grand Prix,Dry,
2678,2678,21540,872,807,10,24,21,21,0.0,50,01:28.6,235.439,Brakes,hulkenberg,8/19/1987,German,2012,13,Italian Grand Prix,9/9/2012,monza,Monza,Italy,force_india,Indian,,1,27,22746,Italian Grand Prix,Dry,
2679,2679,21527,872,814,10,9,8,8,4.0,53,01:29.1,234.144,Finished,resta,4/16/1986,British,2012,13,Italian Grand Prix,9/9/2012,monza,Monza,Italy,force_india,Indian,4.0,1,21,22190,Italian Grand Prix,Dry,
2681,2681,21526,872,3,131,6,7,7,6.0,53,01:27.2,239.053,Finished,rosberg,6/27/1985,German,2012,13,Italian Grand Prix,9/9/2012,monza,Monza,Italy,mercedes,German,7.0,2,38,21854,Italian Grand Prix,Dry,
2683,2683,21525,872,30,131,4,6,6,8.0,53,01:27.7,237.748,Finished,michael_schumacher,1/3/1969,German,2012,13,Italian Grand Prix,9/9/2012,monza,Monza,Italy,mercedes,German,5.0,2,37,22310,Italian Grand Prix,Dry,
2684,2684,21528,872,155,15,8,9,9,2.0,53,01:29.0,234.239,Finished,kobayashi,9/13/1986,Japanese,2012,13,Italian Grand Prix,9/9/2012,monza,Monza,Italy,sauber,Swiss,9.0,1,20,22874,Italian Grand Prix,Dry,
2685,2685,21521,872,815,15,12,2,2,18.0,53,01:27.6,238.171,Finished,perez,1/26/1990,Mexican,2012,13,Italian Grand Prix,9/9/2012,monza,Monza,Italy,sauber,Swiss,13.0,1,29,22472,Italian Grand Prix,Dry,
2686,2686,21537,872,37,164,23,18,18,0.0,52,01:30.4,230.699,+1 Lap,rosa,2/24/1971,Spanish,2012,13,Italian Grand Prix,9/9/2012,monza,Monza,Italy,hrt,Spanish,23.0,1,22,23488,Italian Grand Prix,Dry,
2687,2687,21538,872,39,164,21,19,19,0.0,52,01:31.1,228.957,+1 Lap,karthikeyan,1/14/1977,Indian,2012,13,Italian Grand Prix,9/9/2012,monza,Monza,Italy,hrt,Spanish,22.0,1,23,31745,Italian Grand Prix,Dry,
2689,2689,21533,872,5,207,17,14,14,0.0,52,01:29.4,233.277,+1 Lap,kovalainen,10/19/1981,Finnish,2012,13,Italian Grand Prix,9/9/2012,monza,Monza,Italy,caterham,Malaysian,18.0,2,39,21910,Italian Grand Prix,Dry,
2691,2691,21534,872,808,207,18,15,15,0.0,52,01:29.1,234.149,+1 Lap,petrov,9/8/1984,Russian,2012,13,Italian Grand Prix,9/9/2012,monza,Monza,Italy,caterham,Malaysian,19.0,2,40,22811,Italian Grand Prix,Dry,
2692,2692,21524,872,8,208,7,5,5,10.0,53,01:29.1,234.036,Finished,raikkonen,10/17/1979,Finnish,2012,13,Italian Grand Prix,9/9/2012,monza,Monza,Italy,lotus_f1,British,8.0,1,17,21730,Italian Grand Prix,Dry,
2693,2693,21532,872,816,208,15,13,13,0.0,53,01:28.7,235.177,Finished,ambrosio,12/27/1985,Belgian,2012,13,Italian Grand Prix,9/9/2012,monza,Monza,Italy,lotus_f1,British,16.0,1,27,21962,Italian Grand Prix,Dry,
2695,2695,21536,872,10,206,19,17,17,0.0,52,01:29.9,232.008,+1 Lap,glock,3/18/1982,German,2012,13,Italian Grand Prix,9/9/2012,monza,Monza,Italy,marussia,Russian,20.0,2,32,22581,Italian Grand Prix,Dry,
2697,2697,21535,872,819,206,20,16,16,0.0,52,01:29.8,232.357,+1 Lap,pic,2/15/1990,French,2012,13,Italian Grand Prix,9/9/2012,monza,Monza,Italy,marussia,Russian,21.0,2,35,22046,Italian Grand Prix,Dry,
2698,2698,21963,892,18,1,9,10,10,1.0,53,01:27.8,237.445,Finished,button,1/19/1980,British,2013,12,Italian Grand Prix,9/8/2013,monza,Monza,Italy,mclaren,British,9.0,1,21,24450,Italian Grand Prix,Dry,
2699,2699,21965,892,815,1,8,12,12,0.0,53,01:27.6,238.049,Finished,perez,1/26/1990,Mexican,2013,12,Italian Grand Prix,9/8/2013,monza,Monza,Italy,mclaren,British,8.0,1,22,25933,Italian Grand Prix,Dry,
2700,2700,21967,892,813,3,14,14,14,0.0,53,01:27.0,239.762,Finished,maldonado,3/9/1985,Venezuelan,2013,12,Italian Grand Prix,9/8/2013,monza,Monza,Italy,williams,British,15.0,1,24,25397,Italian Grand Prix,Dry,
2701,2701,21968,892,822,3,18,15,15,0.0,53,01:27.2,239.253,Finished,bottas,8/28/1989,Finnish,2013,12,Italian Grand Prix,9/8/2013,monza,Monza,Italy,williams,British,18.0,1,25,24665,Italian Grand Prix,Dry,
2702,2702,21955,892,4,6,5,2,2,18.0,53,01:26.8,240.27,Finished,alonso,7/29/1981,Spanish,2013,12,Italian Grand Prix,9/8/2013,monza,Monza,Italy,ferrari,Italian,5.0,1,27,24208,Italian Grand Prix,Dry,
2703,2703,21957,892,13,6,4,4,4,12.0,53,01:27.1,239.448,Finished,massa,4/25/1981,Brazilian,2013,12,Italian Grand Prix,9/8/2013,monza,Monza,Italy,ferrari,Italian,4.0,1,24,24692,Italian Grand Prix,Dry,
2704,2704,21956,892,17,9,2,3,3,15.0,53,01:26.7,240.567,Finished,webber,8/27/1976,Australian,2013,12,Italian Grand Prix,9/8/2013,monza,Monza,Italy,red_bull,Austrian,2.0,1,23,24205,Italian Grand Prix,Dry,
